,name,height,weight,collage,born,birth_city,birth_state
918,Jonathan Gibson,188,83,New Mexico State University,1987,West Covina,California
919,Treveon Graham,198,99,Virginia Commonwealth University,1993,Washington,District of Columbia
920,A.J. Hammons,198,99,,1993,,
921,Andrew Harrison,198,96,University of Kentucky,1994,San Antonio,Texas
922,Juan Hernangomez,206,104,,1995,Madrid,Spain
923,Willy Hernangomez,211,108,,1994,Madrid,Spain
924,Buddy Hield,193,97,University of Oklahoma,1993,Freeport,Bahamas
925,Danuel House,201,93,Texas A&M University,1993,Houston,Texas
926,Brandon Ingram,206,86,Duke University,1997,Kinston,North Carolina
927,Demetrius Jackson,185,91,University of Notre Dame,1994,South Bend,Indiana
928,Pierre Jackson,178,81,Baylor University,1991,Las Vegas,Nevada
929,Derrick Jones,203,100,University of Miami,1990,Stone Mountain,Georgia
930,Mindaugas Kuzminskas,206,97,,1989,Vilnius,Lithuania
931,Skal Labissiere,211,102,University of Kentucky,1996,Port-Au-Prince,Haiti
932,Nicolas Laprovittola,193,81,,1990,Buenos Aires,Argentina
933,Jake Layman,206,95,University of Maryland,1994,Norwood,Massachusetts
934,Caris LeVert,201,92,University of Michigan,1994,Columbus,Ohio
935,Shawn Long,206,115,University of Louisiana at Lafayette,1993,Morgan City,Louisiana
936,Timothe Luwawu-Cabarrot,198,92,,1995,Cannes,France
937,Thon Maker,216,97,,1997,South Sudan,
938,Patrick McCaw,201,83,"University of Nevada, Las Vegas",1995,St. Louis,Missouri
939,Sheldon McClellan,196,90,University of Miami,1992,Houston,Texas
940,Rodney McGruder,193,92,Kansas State University,1991,Landover,Maryland
941,Dejounte Murray,196,77,University of Washington,1996,Seattle,Washington
942,Jamal Murray,193,93,University of Kentucky,1997,Kitchener,Canada
943,Maurice Ndour,206,90,Ohio University,1992,Sindia,Senegal
944,Georges Niang,203,104,Iowa State University,1993,Lawrence,Massachusetts
945,David Nwaba,193,94,"California Polytechnic State University, San Luis Obispo",1993,Los Angeles,California
946,Daniel Ochefu,211,111,Villanova University,1993,Baltimore,Maryland
947,Chinanu Onuaku,208,111,University of Louisville,1996,Baltimore,Maryland
948,Georgios Papagiannis,216,108,,1997,Amarousio,Greece
949,Marshall Plumlee,211,111,Duke University,1990,Fort Wayne,Indiana
950,Jakob Poeltl,213,112,University of Utah,1995,Vienna,Austria
951,Alex Poythress,201,107,University of Kentucky,1993,Savannah,Georgia
952,Tim Quarterman,198,88,Louisiana State University,1994,Savannah,Georgia
953,Chasson Randle,188,83,Stanford University,1993,Rock Island,Illinois
954,Malachi Richardson,198,92,Syracuse University,1996,Trenton,New Jersey
955,Domantas Sabonis,211,108,Gonzaga University,1996,Portland,Oregon
956,Dario Saric,208,101,,1994,Sibenik,Croatia
957,Tomas Satoransky,201,95,,1991,Prague,Czech Republic
958,Wayne Selden,196,104,University of Kansas,1994,Roxbury,Massachusetts
959,Pascal Siakam,206,104,New Mexico State University,1994,Douala,Cameroon
960,Diamond Stone,211,115,University of Maryland,1997,Milwaukee,Wisconsin
961,Edy Tavares,211,115,,1997,,
962,Isaiah Taylor,190,77,University of Texas at Austin,1994,Hayward,California
963,Mike Tobey,213,117,University of Virginia,1994,Monroe,New York
964,Tyler Ulis,178,68,University of Kentucky,1996,Detroit,Michigan
965,Jarrod Uthoff,206,100,University of Iowa,1993,Cedar Rapids,Iowa
966,Denzel Valentine,198,96,Michigan State University,1993,Lansing,Michigan
967,Fred VanVleet,183,88,Wichita State University,1994,Rockford,Illinois
968,Taurean Waller-Prince,183,88,,1994,,
969,Okaro White,203,92,Florida State University,1992,Clearwater,Florida
970,Isaiah Whitehead,193,96,Seton Hall University,1995,Brooklyn,New York
971,Kyle Wiltjer,208,108,Gonzaga University,1992,Portland,Oregon
972,Stephen Zimmerman,213,108,"University of Nevada, Las Vegas",1996,Hendersonville,Tennessee
973,Paul Zipser,203,97,,1994,Heidelberg,Germany
974,Ivica Zubac,216,120,,1997,Mostar,Bosnia and Herzegovina
