,name,height,weight,collage,born,birth_city,birth_state
631,Kris Joseph,201,95,Syracuse University,1988,Montreal,Canada
632,Michael Kidd-Gilchrist,201,105,University of Kentucky,1993,Philadelphia,Pennsylvania
633,Viacheslav Kravtsov,213,117,,1987,Odessa,Ukraine
634,Doron Lamb,193,95,University of Kentucky,1991,Queens,New York
635,Jeremy Lamb,196,83,University of Connecticut,1992,Henrico Valley,Virginia
636,Meyers Leonard,216,111,University of Illinois at Urbana-Champaign,1992,Woodbridge,Virginia
637,Damian Lillard,190,88,Weber State University,1990,Oakland,California
638,Scott Machado,185,92,Iona College,1990,Queens,New York
639,Kendall Marshall,193,90,University of North Carolina,1991,Dumfries,Virginia
640,Fab Melo,213,115,Syracuse University,1990,Juiz de Forz,Brazil
641,Khris Middleton,203,106,Texas A&M University,1991,Charleston,South Carolina
642,Darius Miller,203,106,University of Kentucky,1990,Maysville,Kentucky
643,Quincy Miller,206,95,Baylor University,1992,Chicago,Illinois
644,Donatas Motiejunas,213,100,,1990,Kaunas,Lithuania
645,Arnett Moultrie,211,112,Mississippi State University,1990,Queens,New York
646,Kevin Murphy,196,83,Tennessee Technological University,1990,Atlanta,Georgia
647,Andrew Nicholson,206,113,St. Bonaventure University,1989,Mississauga,Canada
648,Kyle O'Quinn,208,113,Norfolk State University,1990,Flushing,New York
649,Tim Ohlbrecht,211,115,,1988,Wuppertal,Germany
650,Miles Plumlee,211,112,Duke University,1988,Fort Wayne,Indiana
651,Austin Rivers,193,90,Duke University,1992,Santa Monica,California
652,Brian Roberts,185,78,University of Dayton,1985,Toledo,Ohio
653,Thomas Robinson,208,107,University of Kansas,1991,Washington,District of Columbia
654,Terrence Ross,201,93,University of Washington,1991,Portland,Oregon
655,Robert Sacre,213,122,Gonzaga University,1989,Baton Rouge,Louisiana
656,Mike Scott,203,107,University of Virginia,1988,Chesapeake,Virginia
657,Tornike Shengelia,206,98,,1991,Tbilisi,Georgia
658,Alexey Shved,198,86,,1988,Belgorod,Russia
659,Henry Sims,208,112,Georgetown University,1990,Baltimore,Maryland
660,Kyle Singler,203,103,Duke University,1988,Medford,Oregon
661,Jared Sullinger,206,117,Ohio State University,1992,Columbus,Ohio
662,Tyshawn Taylor,190,83,University of Kansas,1990,Hoboken,New Jersey
663,Marquis Teague,188,85,University of Kentucky,1993,Indianapolis,Indiana
664,Mirza Teletovic,206,109,,1985,Mostar,Bosnia and Herzegovina
665,Jonas Valanciunas,213,120,,1992,Utena,Lithuania
666,Jarvis Varnado,206,104,Mississippi State University,1988,Fairfax,Virginia
667,Dion Waiters,193,102,Syracuse University,1991,Philadelphia,Pennsylvania
668,Maalik Wayns,188,90,Villanova University,1991,Philadelphia,Pennsylvania
669,Tony Wroten,198,92,University of Washington,1993,Seattle,Washington
670,Luke Zeller,211,111,University of Notre Dame,1987,Ames,Iowa
671,Tyler Zeller,213,114,University of North Carolina,1990,Visalia,California
672,Steven Adams,213,115,University of Pittsburgh,1993,Rotorua,New Zealand
673,Giannis Antetokounmpo,211,100,,1994,Athens,Greece
674,Pero Antic,211,117,,1982,Skopje,FYR Macedonia
675,Chris Babb,196,102,Iowa State University,1990,Arlington,Texas
